title,rank,date,artist,url,region,chart,trend,streams
How Would You Feel (Paean),190,2017-06-09,Ed Sheeran,https://open.spotify.com/track/6PJ8FF6UR8FZXfEvpHkIVN,Ireland,top200,MOVE_DOWN,3412.0
Shape of You,14,2017-07-05,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,Italy,top200,SAME_POSITION,91355.0
"thank u, next",35,2019-02-08,Ariana Grande,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ,New Zealand,viral50,MOVE_UP,
Perfect,122,2018-05-01,Ed Sheeran,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,Italy,top200,MOVE_UP,31008.0
just like magic,142,2020-11-13,Ariana Grande,https://open.spotify.com/track/7Dx9Z6Aon1qPS2N0rHSWTe,Ireland,top200,MOVE_DOWN,6405.0
Photograph,158,2019-04-08,Ed Sheeran,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy,Indonesia,top200,MOVE_UP,23914.0
Shape of You,48,2018-02-21,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,Peru,top200,SAME_POSITION,23563.0
Shape of You,1,2017-06-25,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,Japan,top200,SAME_POSITION,18348.0
Perfect Duet (Ed Sheeran & Beyoncé),146,2018-03-12,Ed Sheeran,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI,Colombia,top200,MOVE_UP,5246.0
Photograph,75,2017-02-07,Ed Sheeran,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy,Dominican Republic,top200,MOVE_UP,1569.0
34+35,190,2021-03-03,Ariana Grande,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF,Japan,top200,MOVE_UP,23813.0
7 rings,31,2019-07-01,Ariana Grande,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,India,top200,MOVE_DOWN,20666.0
God is a woman,173,2018-12-06,Ariana Grande,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C,Thailand,top200,MOVE_UP,3141.0
Perfect,175,2021-11-12,Ed Sheeran,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,Canada,top200,MOVE_DOWN,36267.0
Santa Tell Me,6,2018-12-23,Ariana Grande,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb,Hungary,top200,MOVE_DOWN,23051.0
Perfect,198,2019-12-10,Ed Sheeran,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,Thailand,top200,MOVE_DOWN,6317.0
Shape of You,75,2018-06-08,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,Brazil,top200,MOVE_DOWN,107478.0
Photograph,138,2017-05-23,Ed Sheeran,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy,United Kingdom,top200,MOVE_UP,45899.0
positions,20,2020-10-24,Ariana Grande,https://open.spotify.com/track/7igeByaBM0MgGsgXtNxDJ7,Iceland,top200,MOVE_DOWN,3136.0
Bad Habits,4,2021-09-15,Ed Sheeran,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE,Bulgaria,top200,SAME_POSITION,4762.0
Save Myself,71,2017-03-16,Ed Sheeran,https://open.spotify.com/track/6TIU9Ehmi6dMzZK73Ym4yj,Singapore,top200,MOVE_DOWN,9613.0
7 rings,38,2019-03-15,Ariana Grande,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,Ecuador,viral50,MOVE_UP,
Afterglow,157,2021-03-29,Ed Sheeran,https://open.spotify.com/track/0E4Y1XIbs8GrAT1YqVy6dq,Hong Kong,top200,MOVE_DOWN,3635.0
Galway Girl,79,2017-04-30,Ed Sheeran,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve,Costa Rica,top200,MOVE_DOWN,3741.0
Galway Girl,50,2017-03-15,Ed Sheeran,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve,El Salvador,top200,MOVE_UP,1638.0
Perfect Duet (Ed Sheeran & Beyoncé),75,2018-03-03,Ed Sheeran,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI,Global,top200,MOVE_UP,979293.0
Stuck with U (with Justin Bieber),179,2021-01-29,Ariana Grande,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH,Canada,top200,MOVE_DOWN,32130.0
Tenerife Sea,169,2017-02-28,Ed Sheeran,https://open.spotify.com/track/6vSwxzO2Qf4BinHSXRwZJe,Poland,top200,MOVE_UP,4090.0
Shape of You,137,2019-05-19,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,Chile,top200,SAME_POSITION,23131.0
Beautiful People (feat. Khalid),69,2020-01-25,Ed Sheeran,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,Sweden,top200,MOVE_UP,37779.0
positions,48,2021-03-01,Ariana Grande,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0,Latvia,top200,MOVE_UP,1422.0
Stuck with U (with Justin Bieber),39,2021-04-08,Ariana Grande,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH,Indonesia,top200,SAME_POSITION,89012.0
New Man,45,2017-03-26,Ed Sheeran,https://open.spotify.com/track/5HDPtsnyb3maFmPL8LLUTG,Czech Republic,top200,SAME_POSITION,3126.0
7 rings,142,2019-11-24,Ariana Grande,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,India,top200,MOVE_DOWN,18704.0
34+35,138,2020-12-11,Ariana Grande,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF,Japan,top200,MOVE_DOWN,27499.0
the light is coming (feat. Nicki Minaj),135,2018-06-25,Ariana Grande,https://open.spotify.com/track/5iZ4hcpCgFVijq5OOjBTKZ,New Zealand,top200,MOVE_DOWN,6522.0
Stuck with U (with Justin Bieber),67,2021-04-13,Ariana Grande,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH,Philippines,top200,MOVE_UP,56786.0
"thank u, next",48,2019-06-05,Ariana Grande,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ,United Arab Emirates,top200,MOVE_DOWN,1731.0
no tears left to cry,3,2018-05-05,Ariana Grande,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9,Slovakia,top200,SAME_POSITION,3519.0
Visiting Hours,92,2021-10-18,Ed Sheeran,https://open.spotify.com/track/44V6EzbUSYgyfsNiP0FrlA,Australia,top200,MOVE_UP,43339.0
Perfect Duet (Ed Sheeran & Beyoncé),193,2019-01-20,Ed Sheeran,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI,Denmark,top200,NEW_ENTRY,7403.0
Shivers,13,2021-10-16,Ed Sheeran,https://open.spotify.com/track/75MNhvTCCKsST3YqqUiU9r,Latvia,top200,MOVE_DOWN,2950.0
I Don't Care (with Justin Bieber),4,2019-06-21,Ed Sheeran,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns,Hungary,top200,MOVE_DOWN,13568.0
Shape of You,163,2019-07-25,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,Denmark,top200,MOVE_UP,9816.0
Perfect Symphony (Ed Sheeran & Andrea Bocelli),11,2017-12-24,Ed Sheeran,https://open.spotify.com/track/3zl7j5ua8mF4JDYuxrfo01,Poland,viral50,MOVE_DOWN,
Perfect,133,2019-05-25,Ed Sheeran,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,Argentina,top200,MOVE_DOWN,25230.0
Shape of You,85,2018-12-22,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,Mexico,top200,MOVE_DOWN,93327.0
Beautiful People (feat. Khalid),118,2020-07-11,Ed Sheeran,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,Australia,top200,MOVE_UP,40760.0
7 rings,50,2019-04-22,Ariana Grande,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,Japan,top200,MOVE_DOWN,17421.0
Perfect,115,2021-11-15,Ed Sheeran,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,Malaysia,top200,MOVE_UP,10709.0
no tears left to cry,134,2018-09-18,Ariana Grande,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo,Thailand,top200,MOVE_DOWN,3076.0
Shape of You,83,2018-08-22,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,Brazil,top200,MOVE_DOWN,103706.0
positions,63,2021-04-15,Ariana Grande,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0,Canada,top200,SAME_POSITION,48664.0
"thank u, next",17,2019-02-18,Ariana Grande,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ,Thailand,top200,MOVE_DOWN,16078.0
Galway Girl,75,2017-03-30,Ed Sheeran,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve,Guatemala,top200,MOVE_DOWN,1889.0
Stuck with U (with Justin Bieber),46,2020-09-17,Ariana Grande,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH,South Africa,top200,MOVE_UP,4389.0
How Would You Feel (Paean),43,2017-02-20,Ed Sheeran,https://open.spotify.com/track/6PJ8FF6UR8FZXfEvpHkIVN,Indonesia,top200,MOVE_UP,21719.0
Shivers,26,2021-09-27,Ed Sheeran,https://open.spotify.com/track/75MNhvTCCKsST3YqqUiU9r,Malaysia,top200,MOVE_UP,25567.0
Perfect,10,2017-10-05,Ed Sheeran,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,Taiwan,top200,MOVE_UP,14578.0
"thank u, next",26,2019-01-18,Ariana Grande,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,Colombia,viral50,MOVE_DOWN,
bloodline,96,2019-03-10,Ariana Grande,https://open.spotify.com/track/2hloaUoRonYssMuqLCBLTX,Ireland,top200,MOVE_DOWN,7822.0
New Man,161,2017-04-20,Ed Sheeran,https://open.spotify.com/track/5HDPtsnyb3maFmPL8LLUTG,Belgium,top200,MOVE_UP,2899.0
Dive,155,2017-08-18,Ed Sheeran,https://open.spotify.com/track/51ChrwmUPDJvedPQnIU8Ls,Australia,top200,MOVE_DOWN,21461.0
Best Part of Me (feat. YEBBA),42,2019-07-18,Ed Sheeran,https://open.spotify.com/track/0VsGaRXR5WAzpu51unJTis,Bulgaria,top200,MOVE_DOWN,1148.0
Perfect,83,2018-10-24,Ed Sheeran,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,Guatemala,top200,MOVE_DOWN,2570.0
needy,99,2019-03-05,Ariana Grande,https://open.spotify.com/track/1TEL6MlSSVLSdhOSddidlJ,Greece,top200,MOVE_UP,1529.0
no tears left to cry,78,2019-02-26,Ariana Grande,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo,Malaysia,top200,MOVE_UP,9493.0
Bad Habits,8,2021-07-21,Ed Sheeran,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE,Andorra,viral50,MOVE_UP,
Perfect Duet (Ed Sheeran & Beyoncé),91,2018-03-05,Ed Sheeran,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI,United Kingdom,top200,MOVE_DOWN,67269.0
Beautiful People (feat. Khalid),46,2019-10-24,Ed Sheeran,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,Italy,top200,MOVE_UP,109042.0
Supermarket Flowers,152,2017-04-17,Ed Sheeran,https://open.spotify.com/track/4VuS959DSpr82t3qBqCrWG,Belgium,top200,MOVE_UP,3301.0
Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),135,2019-11-22,Ariana Grande,https://open.spotify.com/track/6zegtH6XXd2PDPLvy1Y0n2,Greece,top200,MOVE_DOWN,2169.0
positions,27,2020-11-29,Ariana Grande,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0,Switzerland,top200,MOVE_DOWN,20503.0
Shape of You,100,2020-01-28,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,Nicaragua,top200,NEW_ENTRY,1001.0
Galway Girl,58,2017-10-03,Ed Sheeran,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve,Hungary,top200,SAME_POSITION,2301.0
Happier,108,2017-08-29,Ed Sheeran,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB,New Zealand,top200,MOVE_DOWN,6683.0
I Don't Care (with Justin Bieber),92,2019-10-16,Ed Sheeran,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,Panama,top200,MOVE_DOWN,2485.0
Happier,55,2018-08-07,Ed Sheeran,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB,Switzerland,top200,MOVE_DOWN,9774.0
Perfect Duet (Ed Sheeran & Beyoncé),19,2018-01-14,Ed Sheeran,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI,Ireland,top200,MOVE_DOWN,20044.0
MONOPOLY (with Victoria Monét),58,2019-04-09,Ariana Grande,https://open.spotify.com/track/6tsOcBnaKgzK22yEiqRh8P,Belgium,top200,MOVE_DOWN,12902.0
God is a woman,149,2018-08-31,Ariana Grande,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C,Ecuador,top200,MOVE_DOWN,2892.0
Photograph,98,2017-10-30,Ed Sheeran,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy,Thailand,top200,MOVE_DOWN,1533.0
Perfect,74,2017-04-19,Ed Sheeran,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,Guatemala,top200,MOVE_DOWN,1826.0
motive (with Doja Cat),138,2020-11-16,Ariana Grande,https://open.spotify.com/track/5GkQIP5mWPi4KZLLXeuFTT,Singapore,top200,MOVE_DOWN,7206.0
"thank u, next",34,2019-07-31,Ariana Grande,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ,Vietnam,top200,MOVE_UP,5520.0
Castle on the Hill,12,2017-04-02,Ed Sheeran,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT,New Zealand,top200,MOVE_DOWN,27490.0
Photograph,127,2020-04-05,Ed Sheeran,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy,Singapore,top200,MOVE_UP,6844.0
Thinking out Loud,40,2019-07-09,Ed Sheeran,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg,Czech Republic,top200,MOVE_DOWN,6922.0
Shape of You (feat. Zion & Lennox) - Latin Remix,57,2017-05-13,Ed Sheeran,https://open.spotify.com/track/5nCtCCB5i1OfbADvynNw0i,Guatemala,top200,MOVE_UP,2578.0
NASA,17,2019-02-15,Ariana Grande,https://open.spotify.com/track/4SPu0Ql902hTVXkBoNIYtq,Bulgaria,top200,MOVE_DOWN,1953.0
Perfect,131,2018-11-24,Ed Sheeran,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,Colombia,top200,MOVE_DOWN,7076.0
"I See Fire - From ""The Hobbit - The Desolation Of Smaug""",183,2019-07-30,Ed Sheeran,https://open.spotify.com/track/3B7udSGy2PfgoCniMSb523,Denmark,top200,MOVE_DOWN,8783.0
Happier,109,2019-03-24,Ed Sheeran,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB,Singapore,top200,MOVE_UP,7313.0
"thank u, next",136,2019-09-29,Ariana Grande,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ,United States,top200,MOVE_UP,234682.0
34+35,94,2021-03-02,Ariana Grande,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF,India,top200,MOVE_UP,58547.0
7 rings,108,2020-06-06,Ariana Grande,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,India,top200,SAME_POSITION,26843.0
Best Part of Me (feat. YEBBA),21,2019-07-24,Ed Sheeran,https://open.spotify.com/track/0VsGaRXR5WAzpu51unJTis,Taiwan,top200,MOVE_UP,18039.0
positions,195,2021-08-17,Ariana Grande,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0,Egypt,top200,MOVE_DOWN,1578.0
boyfriend (with Social House),137,2019-11-11,Ariana Grande,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t,United States,top200,MOVE_UP,248963.0
positions,95,2021-06-29,Ariana Grande,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0,Philippines,top200,MOVE_DOWN,41662.0
Happier,179,2018-12-03,Ed Sheeran,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB,Spain,top200,MOVE_UP,26563.0
Perfect,88,2019-01-13,Ed Sheeran,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,Iceland,top200,MOVE_DOWN,1120.0
boyfriend (with Social House),4,2019-08-20,Ariana Grande,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t,Singapore,top200,SAME_POSITION,40657.0
Bad Habits,19,2021-07-21,Ed Sheeran,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE,Singapore,viral50,MOVE_DOWN,
